Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.4 m (1.1) 
Y:    89.3 m (1.6) 
Depth: -4739.5 m (3.6) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.022919)
Drift Lon: 13.361365 m (1.141937) 
Drift Lat: 89.276590 m (1.553047) 
Drift:    90.272534 m (1.592382) 
Drift Azi: 8.511288 deg (0.689851)
dz: 10.486603 m (3.572178)

RMS:  1.5430 ms (0.329318)

Bad Pings Removed: 3
Doppler Correction: NO
Ray Bending Correction: YES
GPS-Transponder Offset: dforward = 0 m
                        dstarboard = 0 m
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
 73:  -4.876840 -132.708788 5251.908472  -0.272061  -0.009338  -0.043270
 74:  -4.878850 -132.709193 5253.334800   0.762991   0.086667   0.401777
 75:  -4.880935 -132.709563 5262.726642   1.274422   0.120147   0.558040
 76:  -4.882917 -132.709623 5267.106988  -0.409056   0.070672   0.328410
 77:  -4.886802 -132.709365 5284.052551   0.980317   0.060444   0.281861
 78:  -4.892188 -132.707333 5290.664342   0.238274   0.125485   0.585810
 79:  -4.894583 -132.705997 5300.816886   3.432480  -0.133293  -0.623843
 80:  -4.901633 -132.695930 5288.557778   1.910607  -0.201642  -0.941255
 81:  -4.901068 -132.694542 5242.253388  -4.089229  -0.726989  -3.360036
 82:  -4.900315 -132.693787 5199.293217  -2.293094  -0.703387  -3.225556
 83:  -4.899413 -132.693470 5156.887883  -2.954612  -0.775073  -3.524920
 84:  -4.897885 -132.693323 5093.159644   1.392100  -0.820779  -3.689567
 85:  -4.896627 -132.693178 5044.125718  -1.399766  -0.788729  -3.509762
