Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.4 m (1.1) 
Y:    89.3 m (1.6) 
Depth: -4739.5 m (3.6) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.017807)
Drift Lon: 13.373987 m (1.077226) 
Drift Lat: 89.273995 m (1.587127) 
Drift:    90.271693 m (1.613432) 
Drift Azi: 8.519712 deg (0.658808)
dz: 10.488413 m (3.558587)

RMS:  1.5430 ms (0.327625)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
 75:  -4.880935 -132.709563 5262.730532   1.300268   0.120121   0.557905
 76:  -4.882917 -132.709623 5267.110783  -0.397394   0.070658   0.328350
 77:  -4.886802 -132.709365 5284.056055   0.943948   0.060452   0.281902
 78:  -4.892188 -132.707333 5290.667011   0.262626   0.125451   0.585640
 79:  -4.894583 -132.705997 5300.819067   3.475814  -0.133310  -0.623915
 80:  -4.901633 -132.695930 5288.556917   1.883627  -0.201652  -0.941314
 81:  -4.901068 -132.694542 5242.252179  -4.133426  -0.727036  -3.360350
 82:  -4.900315 -132.693787 5199.291837  -2.270230  -0.703371  -3.225443
 83:  -4.899413 -132.693470 5156.886456  -2.954741  -0.775067  -3.524869
 84:  -4.897885 -132.693323 5093.158244   1.395756  -0.820764  -3.689465
 85:  -4.896627 -132.693178 5044.124336  -1.418621  -0.788758  -3.509967
