#==============================================================================
# EdgeNmea_Universal_0.9.py VERSION 0.0.9
# UTC Date and Time:    2023-03-30 07:22:17
# Cruise:               Hooft_Galapagos_Plume
# Station:              42
# Instrument:           T107
# Drop-Point Latitude:  0 27.9024 S
# Drop-Point Longitude: 94 07.3070 W
# Drop-Point Depth (m): 3392
# Deck box:             59923
# Transducer:           HullDucer
# TAT:                  13 ms
# Speed of Sound:       1500 m/s
# Comment: 
#
#==============================================================================
# Sys date time utc, rng m,rng ms,    latitude  ,    longitude  , GPS time, heading
2023-03-30 07:22:22,  3396,  4529, 00 27.9144 S, 094 07.3070 W, 07:22:12.00, 62.6
2023-03-30 07:22:37,  3396,  4529, 00 27.9135 S, 094 07.3064 W, 07:22:27.00, 81.0
2023-03-30 07:22:52,  3396,  4528, 00 27.9133 S, 094 07.3068 W, 07:22:42.00, 218.8
2023-03-30 07:23:07,  3397,  4530, 00 27.9125 S, 094 07.3067 W, 07:22:57.00, 46.1
2023-03-30 07:23:22,  3396,  4529, 00 27.9115 S, 094 07.3064 W, 07:23:12.00, 59.3
2023-03-30 07:23:38,  3396,  4529, 00 27.9116 S, 094 07.3067 W, 07:23:27.00, 175.6
2023-03-30 07:23:53,  3397,  4530, 00 27.9110 S, 094 07.3062 W, 07:23:43.00, 52.7
2023-03-30 07:24:08,  3396,  4529, 00 27.9107 S, 094 07.3069 W, 07:23:58.00, 237.5
2023-03-30 07:24:23,  3396,  4528, 00 27.9106 S, 094 07.3084 W, 07:24:13.00, 268.9
2023-03-30 07:24:38,  3398,  4531, 00 27.9099 S, 094 07.3106 W, 07:24:28.00, 315.2
2023-03-30 07:24:53,  3397,  4530, 00 27.9095 S, 094 07.3139 W, 07:24:43.00, 276.0
2023-03-30 07:25:08,  3396,  4529, 00 27.9080 S, 094 07.3174 W, 07:24:58.00, 310.7
2023-03-30 07:25:23,  3397,  4530, 00 27.9056 S, 094 07.3213 W, 07:25:13.00, 298.8
