Bootstrap inversion results (2sigma uncertainty)
Station: CC03
Lat:   -4.88160 deg (0.000014) 
Lon:   -132.68895 deg (0.000010) 
X:     13.4 m (1.1) 
Y:    89.3 m (1.6) 
Depth: -4739.5 m (3.7) 
TAT:   13.0 ms (0.000000) 
Water Vel.: 1507.0 m/s (1.060033)
Drift Lon: 13.368334 m (1.138188) 
Drift Lat: 89.280599 m (1.602554) 
Drift:    90.277531 m (1.637860) 
Drift Azi: 8.515358 deg (0.690090)
dz: 10.504693 m (3.727520)

RMS:  1.5413 ms (0.331204)

Bad pings Removed: 3
===================================================
       Lat        Lon       Range (m)    Residual (s) Doppler Vel. (m/s)  TWT corr. (ms) 
 75:  -4.880935 -132.709563 5262.713322   1.286064   0.120124   0.557924
 76:  -4.882917 -132.709623 5267.093855  -0.425892   0.070676   0.328434
 77:  -4.886802 -132.709365 5284.039748   0.962898   0.060477   0.282017
 78:  -4.892188 -132.707333 5290.651710   0.262739   0.125439   0.585583
 79:  -4.894583 -132.705997 5300.804283   3.469382  -0.133308  -0.623907
 80:  -4.901633 -132.695930 5288.544265   1.888737  -0.201655  -0.941332
 81:  -4.901068 -132.694542 5242.239503  -4.107870  -0.726997  -3.360054
 82:  -4.900315 -132.693787 5199.279041  -2.252088  -0.703357  -3.225348
 83:  -4.899413 -132.693470 5156.873466  -2.929774  -0.775058  -3.524833
 84:  -4.897885 -132.693323 5093.144891   1.348405  -0.820843  -3.689999
 85:  -4.896627 -132.693178 5044.110689  -1.391266  -0.788746  -3.509899
